datetime,solar_mwh_raw,wind_mwh_raw,renewable_mwh_raw,load_mw_raw,temperature_2m,relative_humidity_2m,precipitation,cloud_cover,shortwave_radiation,wind_speed_10m,wind_direction_10m,date,hour,hour_sin,hour_cos,doy_sin,doy_cos,wind_direction_sin,wind_direction_cos,renewable_lag_1h,renewable_lag_24h,renewable_rolling_mean_24h,renewable_rolling_std_24h,forecast_renewable_raw_mwh,sigma_u_raw_mwh,renewable_scaled_mw,load_scaled_mw,forecast_renewable_scaled_mw,sigma_u_scaled_mw,sigma_heuristic_scaled_mw
2025-03-25 20:00:00,2.9227,4.180435,7.103135,60288.26367166667,21.7,37,0.0,0,0.0,33.7,225,2025-03-25,20,-0.8660254037844386,0.5000000000000001,0.9922222094179323,0.12447926388678915,-0.7071067811865475,-0.7071067811865477,7.202426,5.673882,78.1990175,96.4444134072544,7.365426285924578,20.23059928059947,5.384119965957862,195.82908473216665,5.582934679382749,15.334633722992507,0.558293467938275
2025-03-25 21:00:00,2.146304,3.653126,5.79943,58930.50162758334,17.5,63,0.0,0,0.0,25.4,255,2025-03-25,21,-0.7071067811865477,0.7071067811865474,0.9922222094179323,0.12447926388678915,-0.9659258262890683,-0.25881904510252063,7.103135,4.858107,78.25856970833333,96.39811388552302,1.730909648238523,21.56337802749416,4.395921920979259,191.41878524460864,1.3120157784344704,16.344869437414378,0.13120157784344705
2025-03-25 22:00:00,0.59548,4.52101,5.116490000000001,58293.470703,19.6,41,0.0,0,0.0,21.1,226,2025-03-25,22,-0.5000000000000004,0.8660254037844384,0.9922222094179323,0.12447926388678915,-0.7193398003386509,-0.6946583704589975,5.79943,3.9457240000000002,78.2977915,96.36713727625738,3.1658007743495133,21.213865003761782,3.878258820172184,189.34957350570977,2.399651866030996,16.079941338843845,0.2399651866030996
2025-03-25 23:00:00,0.016232,2.883142,2.899374,56957.89453116667,18.2,44,0.0,0,0.0,16.6,251,2025-03-25,23,-0.25881904510252157,0.9659258262890681,0.9922222094179323,0.12447926388678915,-0.9455185755993168,-0.32556815445715664,5.116490000000001,3.223421,78.34657341666666,96.32815160607396,2.9314029493961726,17.78146295610289,2.1977024851954963,185.0113384431676,2.221980174685079,13.478207823150438,0.22219801746850792
2025-03-26 00:00:00,0.000376,2.523327,2.5237030000000003,53146.77962233333,15.7,55,0.0,0,0.0,11.9,265,2025-03-26,0,0.0,1.0,0.994217906893952,0.10738134666416309,-0.9961946980917455,-0.08715574274765825,2.899374,4.534299,78.33307145833332,96.33916123415575,2.8449866348252115,19.891061941604,1.9129468481801004,172.63202779540225,2.156477293961848,15.077267114294557,0.21564772939618482
2025-03-26 01:00:00,0.001068,1.749985,1.751053,50824.857747333335,14.2,64,0.0,0,0.0,7.6,239,2025-03-26,1,0.25881904510252074,0.9659258262890683,0.994217906893952,0.10738134666416309,-0.8571673007021121,-0.5150380749100544,2.5237030000000003,2.684088,78.249296625,96.40697584363832,1.267601969762751,20.972049730901364,1.3272842792302855,165.08993240388185,0.9608322345396987,15.89664728084251,0.09608322345396987
2025-03-26 02:00:00,0.000596,1.104058,1.104654,49796.2047525,13.7,67,0.0,0,0.0,4.6,228,2025-03-26,2,0.49999999999999994,0.8660254037844387,0.994217906893952,0.10738134666416309,-0.743144825477394,-0.6691306063588585,1.751053,2.5823899999999997,78.21042016666667,96.43895547248228,1.0044361476962393,21.268903837884885,0.8373189664669497,161.74864900613352,0.7613546296587524,16.121660338370848,0.07613546296587526
2025-03-26 03:00:00,0.000632,0.432914,0.43354600000000004,49589.33593741667,14.5,59,0.0,0,0.0,5.2,200,2025-03-26,3,0.7071067811865475,0.7071067811865476,0.994217906893952,0.10738134666416309,-0.34202014332566866,-0.9396926207859084,1.104654,1.201423,78.14884783333333,96.4897985803914,0.333642615697066,21.76975156791892,0.3286244277718455,161.07669515889683,0.2528984552129418,16.501298943462956,0.02528984552129418
2025-03-26 04:00:00,0.000608,0.03456,0.035168,50989.668294083334,13.4,60,0.0,0,0.0,1.6,186,2025-03-26,4,0.8660254037844386,0.5000000000000001,0.994217906893952,0.10738134666416309,-0.10452846326765305,-0.9945218953682734,0.43354600000000004,1.8109439999999999,78.11685295833333,96.51654637922465,2.5520931144205576,22.620683922588302,0.02665706493862303,165.62527206302397,1.9344663296326634,17.14629891607434,0.19344663296326636
2025-03-26 05:00:00,0.000488,0.184592,0.18508,52629.17578116667,13.8,57,0.0,0,0.0,1.1,180,2025-03-26,5,0.9659258262890683,0.25881904510252074,0.994217906893952,0.10738134666416309,1.2246467991473532e-16,-1.0,0.035168,0.861657,78.04286229166667,96.5782476336077,7.063492642814033,24.755702658248815,0.1402891713728489,170.95074058796928,5.354071373776721,18.764626176131184,0.5354071373776721
2025-03-26 06:00:00,1.228149,0.331297,1.5594459999999999,54454.02083341667,14.3,55,0.0,0,0.0,0.6,162,2025-03-26,6,1.0,6.123233995736766e-17,0.994217906893952,0.10738134666416309,0.3090169943749475,-0.9510565162951535,0.18508,1.5281660000000001,78.01467158333334,96.60185181576864,14.652161730622218,16.869837073290405,1.1820476936497932,176.8782248875061,11.106222325534683,12.787202637815419,1.1106222325534683
2025-03-26 07:00:00,31.584427,0.746079,32.330506,56349.953776166665,15.3,54,0.0,0,9.0,1.0,149,2025-03-26,7,0.9659258262890683,-0.25881904510252063,0.994217906893952,0.10738134666416309,0.5150380749100544,-0.8571673007021122,1.5594459999999999,29.144916,78.01597491666666,96.60077521277356,32.23058578730568,32.51214007176424,24.506267002403934,183.0366177533929,24.430528274057895,24.643944187517842,2.44305282740579
2025-03-26 08:00:00,95.096718,1.273179,96.369897,55080.84082033333,18.6,49,0.0,0,139.0,2.1,121,2025-03-26,8,0.8660254037844387,-0.49999999999999983,0.994217906893952,0.10738134666416309,0.8571673007021123,-0.5150380749100543,32.330506,92.792751,78.14870783333333,96.53286973136008,83.71747187095745,83.55137264455455,73.04761722183271,178.91426933221294,63.45717937219802,63.33127747659755,6.345717937219803
2025-03-26 09:00:00,164.806566,2.307477,167.114043,52611.25358083333,20.7,53,0.0,0,349.0,2.3,72,2025-03-26,9,0.7071067811865476,-0.7071067811865475,0.994217906893952,0.10738134666416309,0.9510565162951535,0.30901699437494745,96.369897,158.180855,78.29775558333334,96.55922133163925,156.06301589652986,95.46844569440793,126.67111852840202,170.89252547487894,118.29452767490773,72.36432428529454,11.829452767490773
2025-03-26 10:00:00,207.521434,1.973815,209.495249,49394.50130216667,22.3,57,0.0,0,555.0,3.2,38,2025-03-26,10,0.49999999999999994,-0.8660254037844387,0.994217906893952,0.10738134666416309,0.6156614753256582,0.788010753606722,167.114043,201.93869,78.66997174999999,96.8971692539909,213.12746129326973,115.87082833247341,158.7957363775592,160.4438308836388,161.5489244739126,87.82916843012924,16.15489244739126
2025-03-26 11:00:00,249.720892,1.826312,251.547204,46430.11523425,23.9,60,0.0,0,723.0,2.3,23,2025-03-26,11,0.258819045102521,-0.9659258262890682,0.994217906893952,0.10738134666416309,0.3907311284892737,0.9205048534524404,209.495249,231.987335,78.98482837499999,97.32645858876845,227.56715624714496,127.81415655804733,190.67078458135393,150.81487534372783,172.49409866861686,96.88211645368513,17.249409866861686
